,Grade,5km_Time_Trial,Pace_per_km_5km,10km_Time_Trial,Pace_per_km_10km_Half_Marathon,Expected_Half_Marathon_Time,Pace_per_km_Half,Expected_Full_Marathon_Time,Pace_per_km_Full
29,70級,43分 15秒,8分 39秒,1時間 31分 10秒,9分 07秒,3時間 25分 30秒,9分44秒,7時間 24分 30秒,10分 39秒
30,71級,43分 50秒,8分46秒,1時間 32分 20秒,9分 14秒,3時間 28分 00秒,9分 51秒,7時間 29分 30秒,10分 47秒
31,72級,44分 25秒,8分 53秒,1時間 33分 30秒,9分 21秒,3時間 31分 45秒,9分 59秒,7時間 35分 00秒,10分 55秒
32,73級,45分 00秒,9分 00秒,1時間 34分 50秒,9分 29秒,3時間 33分 30秒,10分 07秒,7時間 47分 00秒,11分 04秒
33,74級,45分 40秒,9分 08秒,1時間 36分 10秒,9分 37秒,3時間 36分 15秒,10分 15秒,7時間 52分 45秒,11分 12秒
34,75級,46分 20秒,9分 16秒,1時間 37分 30秒,9分45秒,3時間 39分 30秒,10分 24秒,7時間 59分 45秒,11分 22秒
35,76級,47分 00秒,9分 24秒,1時間 38分 50秒,9分 53秒,3時間 42分 15秒,10分 32秒,8時間 05分 15秒,11分 30秒
36,77級,47分 40秒,9分 32秒,1時間 40分 20秒,10分 02秒,3時間 45分 30秒,10分 41秒,8時間 12分 30秒,11分 40秒
37,78級,48分 20秒,9分40秒,1時間 41分 40秒,10分 10秒,3時間 48分 45秒,10分 50秒,8時間 18分 45秒,11分 49秒
38,79級,49分 00秒,9分48秒,1時間 43分 00秒,10分 18秒,3時間 51分 30分,10分 58秒,8時間 25分 00秒,11分 58秒
39,80級,49分 40秒,9分 56秒,1時間 44分 20秒,10分 26秒,3時間 54分 15秒,11分 06秒,8時間 30分 45秒,12分 06秒
